"","SRR16352841ReadsPerGene.out.tab","SRR16352842ReadsPerGene.out.tab","SRR16352843ReadsPerGene.out.tab","SRR16352845ReadsPerGene.out.tab","SRR16352846ReadsPerGene.out.tab","SRR16352847ReadsPerGene.out.tab","SRR16352849ReadsPerGene.out.tab","SRR16352850ReadsPerGene.out.tab","SRR16352851ReadsPerGene.out.tab","SRR16352854ReadsPerGene.out.tab","SRR16352855ReadsPerGene.out.tab","SRR16352856ReadsPerGene.out.tab","SRR16352859ReadsPerGene.out.tab","SRR16352860ReadsPerGene.out.tab","SRR16352861ReadsPerGene.out.tab"
"asRNA:CR45908",32,17,28,28,35,37,16,28,5,50,23,7,19,7,25
"lncRNA:CR45899",0,0,1,0,0,1,1,0,1,1,0,0,1,0,0
"lncRNA:CR45900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45915",0,0,0,1,5,0,0,0,0,2,5,3,0,0,0
"lncRNA:CR46131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43486",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46221",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR46133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR46134",1,0,3,0,0,0,0,0,0,0,0,0,1,0,0
"asRNA:CR46135",7,8,12,3,12,6,3,2,0,0,4,1,1,8,6
"asRNA:CR46136",20,29,14,9,31,27,18,17,3,32,21,13,15,10,16
"lncRNA:CR45793",25,15,8,9,20,24,7,11,1,3,20,22,14,17,10
"asRNA:CR46137",18,11,21,0,13,19,11,4,1,12,5,13,5,6,5
"asRNA:CR46138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45999",9,3,8,4,18,8,2,1,2,11,11,18,8,3,3
"asRNA:CR46139",3,6,8,1,9,4,0,1,1,1,4,8,9,1,3
"asRNA:CR46140",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"asRNA:CR46255",1,19,4,2,3,1,2,10,0,3,0,2,4,5,4
"lncRNA:CR46141",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46123",271,218,217,115,345,334,0,0,0,0,0,0,0,0,0
"lncRNA:CR46250",0,0,0,2,4,0,6,2,1,10,4,0,1,1,1
"lncRNA:CR46252",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"asRNA:CR45970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45968",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45969",4,2,4,1,1,2,3,1,1,1,2,0,1,2,0
"lncRNA:CR45961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"lncRNA:CR46227",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"lncRNA:CR45967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45959",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45966",0,2,1,1,1,0,1,1,0,0,2,0,5,0,1
"lncRNA:CR45958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45965",0,0,3,0,4,4,0,3,0,0,13,2,6,7,0
"lncRNA:CR45957",0,2,6,2,0,0,0,1,1,5,3,2,0,0,4
"lncRNA:CR45964",6,4,3,2,10,7,1,1,0,5,5,0,5,3,3
"lncRNA:CR45920",64,42,35,16,15,18,26,34,6,7,17,10,18,24,4
"lncRNA:CR45962",131,98,108,48,116,133,61,71,14,86,66,54,53,56,44
"lncRNA:CR45956",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"lncRNA:CR45963",0,1,0,0,0,0,4,1,0,2,0,0,0,3,3
"asRNA:CR45955",0,0,0,0,0,0,0,0,0,2,1,1,0,3,0
"asRNA:CR45960",0,0,2,0,0,0,0,0,0,0,1,2,0,4,2
"lncRNA:CR45954",0,4,9,4,13,19,5,6,0,6,13,1,1,1,2
"lncRNA:CR45972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45953",1,4,3,0,7,2,0,3,1,8,2,0,0,1,2
"lncRNA:CR45971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"asRNA:CR46068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"lncRNA:CR45803",5,10,13,3,10,15,1,11,1,6,6,0,3,3,1
"asRNA:CR45952",0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
"asRNA:CR45951",4,1,2,0,0,0,1,1,0,1,1,0,0,0,2
"lncRNA:CR45945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45943",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45973",17,9,20,14,7,13,1,12,1,12,46,9,5,10,8
"asRNA:CR32224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45942",1,10,0,0,1,0,0,5,1,0,4,0,0,0,0
"lncRNA:CR45916",5,1,0,0,4,6,2,1,1,6,0,3,0,0,0
"asRNA:CR46047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR46048",2,3,12,3,4,5,3,9,2,12,13,1,6,6,4
"lncRNA:CR46216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"lncRNA:CR45941",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45940",1,0,0,2,4,0,0,0,0,0,0,0,0,1,0
"asRNA:CR45912",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45939",0,1,3,0,2,0,2,2,2,0,1,0,9,3,2
"lncRNA:CR45938",13,2,2,3,2,13,2,10,3,5,16,4,5,6,1
"lncRNA:CR46215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45974",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45975",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45936",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"lncRNA:CR45937",0,0,0,0,6,0,0,0,0,0,0,0,0,1,1
"lncRNA:CR45935",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"lncRNA:CR45922",0,0,0,0,0,1,2,4,0,11,7,4,15,13,3
"lncRNA:CR45921",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"lncRNA:CR43174",20,11,15,9,19,15,10,24,3,21,37,23,13,33,10
"lncRNA:CR45976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45898",2,1,5,6,7,2,1,0,0,1,4,2,2,0,0
"lncRNA:CR46214",6,2,4,2,5,3,0,3,0,0,0,4,0,4,1
"lncRNA:CR45897",0,0,0,0,1,0,1,0,0,1,0,0,5,0,0
"asRNA:CR46033",2,2,0,0,5,0,0,0,1,0,0,6,0,3,0
"asRNA:CR45865",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45895",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45889",22,18,4,11,27,12,15,13,7,13,14,7,21,6,2
"lncRNA:CR45998",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"lncRNA:CR46197",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"lncRNA:CR45977",0,0,0,1,1,2,2,1,0,0,0,2,0,0,0
"lncRNA:CR46213",0,0,0,0,0,2,2,2,4,4,12,2,0,4,6
"lncRNA:CR45978",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"lncRNA:CR45888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46031",12,1,9,1,4,1,2,4,0,6,4,9,5,7,0
"lncRNA:CR46032",10,10,6,2,2,3,0,4,0,5,4,6,2,6,6
"lncRNA:CR45887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR46067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR46266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45825",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43912",1,2,1,2,1,9,0,2,0,0,6,0,1,0,0
"asRNA:CR46251",0,0,1,0,2,0,1,1,0,1,0,0,0,0,0
"lncRNA:CR45824",3,0,0,0,0,0,2,0,0,4,1,2,1,1,0
"lncRNA:CR46241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45892",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR11538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45885",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45884",4,0,4,0,4,3,1,2,0,0,1,1,2,3,1
"asRNA:CR45882",11,13,14,0,11,1,1,0,0,0,0,0,1,0,0
"lncRNA:CR45883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45880",0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45881",56,62,105,20,73,37,22,20,3,16,34,11,8,18,13
"asRNA:CR46049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46240",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"asRNA:CR46050",0,1,0,0,1,8,2,2,0,2,2,1,5,5,1
"lncRNA:CR46231",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"lncRNA:CR46230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46212",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"lncRNA:CR46006",177,135,143,45,123,106,59,75,16,120,108,63,69,58,35
"asRNA:CR45804",9,4,11,2,11,10,12,20,5,7,5,3,10,12,10
"lncRNA:CR46004",2,0,3,0,0,0,1,0,0,0,1,1,0,1,0
"asRNA:CR46246",10,0,6,2,7,6,0,2,0,4,3,0,6,1,0
"asRNA:CR45874",2,0,7,0,3,1,0,1,0,0,4,0,0,0,1
"lncRNA:CR46003",8,0,2,1,4,1,2,4,4,2,4,5,3,6,1
"asRNA:CR45873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR43481",2,5,8,12,43,5,15,3,0,3,10,1,3,8,8
"lncRNA:CR45878",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"asRNA:CR45871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45877",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"lncRNA:CR45823",0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
"lncRNA:CR45876",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45870",7,21,3,7,18,17,7,11,1,9,18,11,12,7,3
"asRNA:CR45875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45869",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45868",0,0,0,1,0,0,1,1,0,5,0,0,1,0,1
"asRNA:CR45867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45866",0,0,4,0,2,1,0,0,0,2,2,7,1,4,1
"asRNA:CR45896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45835",1,0,1,1,3,4,1,1,0,1,1,0,2,1,0
"asRNA:CR45822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45833",9,7,6,4,4,2,2,5,1,6,8,3,1,2,4
"asRNA:CR45832",1,0,4,0,0,3,3,0,0,0,0,2,3,0,2
"lncRNA:CR46000",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45979",0,0,0,0,0,4,3,1,0,0,0,0,1,0,6
"lncRNA:CR45980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46005",0,0,0,0,0,2,1,1,0,0,4,0,0,0,0
"lncRNA:CR46001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45985",7,24,6,6,13,14,2,2,0,7,9,11,12,5,0
"lncRNA:CR46198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45984",0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
"lncRNA:CR45983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44709",0,0,0,0,0,0,3,0,0,0,0,0,0,1,1
"lncRNA:CR45820",0,0,0,0,5,1,0,1,0,0,0,5,0,0,3
"lncRNA:CR43626",2,5,11,5,9,4,4,0,2,4,5,1,0,3,0
"lncRNA:CR45819",0,4,5,0,2,0,4,0,0,2,3,2,0,4,1
"lncRNA:CR45982",0,3,1,0,0,0,2,2,0,0,1,0,1,0,4
"lncRNA:CR45981",1,0,2,0,0,1,0,0,0,2,0,0,0,1,0
"asRNA:CR45829",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45802",1,6,2,0,1,4,0,0,0,3,2,0,0,2,0
"asRNA:CR45828",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45827",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45826",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45834",18,31,23,3,7,3,2,8,4,4,5,6,4,10,5
"asRNA:CR45815",21,12,23,3,14,13,10,19,1,5,3,8,13,8,3
"asRNA:CR45814",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"asRNA:CR45813",56,37,36,14,30,35,15,29,4,38,19,20,26,36,23
"asRNA:CR45812",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"lncRNA:CR45811",34,29,13,10,29,15,10,36,5,37,29,21,5,12,13
"lncRNA:CR45810",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45809",2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"lncRNA:CR46200",0,0,0,0,0,3,0,0,0,2,2,0,0,1,0
"asRNA:CR45807",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"lncRNA:CR45808",0,0,2,1,0,7,1,0,0,1,2,0,2,0,4
"lncRNA:CR46249",1,1,0,0,1,1,0,0,0,2,2,3,2,2,4
"lncRNA:CR46002",0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
"asRNA:CR45806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45805",13,25,24,15,16,18,25,35,11,44,42,18,30,39,12
"lncRNA:CR43150",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"asRNA:CR45926",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"asRNA:CR45928",0,3,2,4,0,2,0,3,0,3,0,0,4,1,4
"lncRNA:CR44750",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"asRNA:CR45925",0,1,0,0,0,1,0,1,0,1,1,1,1,0,1
"lncRNA:CR46234",0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
"lncRNA:CR46271",2,8,17,4,9,31,5,2,0,18,1,6,4,4,0
"lncRNA:CR45997",3,0,0,6,2,1,0,0,0,0,4,0,0,0,0
"lncRNA:CR46235",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"lncRNA:CR43104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45232",10,7,9,6,14,8,10,16,0,8,9,3,11,4,3
"lncRNA:CR45994",0,0,1,0,0,1,1,4,1,6,8,3,5,5,1
"lncRNA:CR45993",0,0,0,0,0,2,0,1,0,2,0,4,2,1,0
"asRNA:CR45927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR42254",53,29,49,22,48,51,35,52,10,71,66,89,25,12,38
"lncRNA:CR42715",149,165,168,49,133,93,61,129,21,16,65,30,78,66,97
"asRNA:CR44368",4,18,8,3,25,10,1,2,0,6,6,3,7,4,1
"lncRNA:CR44206",10,12,10,6,22,14,4,11,5,21,12,8,14,11,14
"lncRNA:CR46237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46194",143,127,121,32,158,94,120,133,30,131,165,89,125,111,80
"scaRNA:PsiU2-55",0,0,0,0,0,1,0,0,0,4,2,0,0,0,1
"lncRNA:CR46229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:acal",0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
"lncRNA:CR46257",0,0,0,2,0,0,0,0,0,1,0,0,0,1,0
"lncRNA:CR46268",24,25,34,8,52,40,47,44,8,74,55,41,36,26,53
"lncRNA:CR45918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45924",0,1,0,0,1,0,11,27,7,13,17,31,6,5,8
"lncRNA:CR46075",0,1,1,0,1,2,3,4,2,2,0,0,3,3,2
"asRNA:CR46269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46064",253,170,224,101,242,201,99,196,41,230,211,234,141,156,179
"lncRNA:CR45923",0,0,0,0,6,13,1,2,0,6,2,4,0,1,20
"lncRNA:CR46202",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"asRNA:CR46066",6,0,1,0,0,1,5,3,1,2,0,2,3,8,0
"lncRNA:CR46253",16,8,2,10,13,23,0,4,0,9,8,8,13,0,7
"lncRNA:CR45361",9,12,6,4,16,11,6,8,3,6,9,3,3,1,5
"lncRNA:CR46209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45919",0,0,0,0,0,0,1,0,0,3,0,0,0,1,1
"lncRNA:CR46204",13,15,12,6,37,23,8,11,2,7,16,10,6,6,3
"asRNA:CR43806",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"lncRNA:CR45913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR46256",1,2,2,0,4,2,3,0,0,0,2,0,2,0,4
"lncRNA:CR46206",6,0,0,0,2,0,0,0,0,0,0,0,0,0,3
"asRNA:CR46070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR46264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45789",2,0,9,3,3,8,3,3,0,5,6,4,1,6,11
"lncRNA:CR45949",26,12,16,18,13,15,11,15,4,23,18,17,10,22,10
"lncRNA:CR46208",7,0,0,0,0,3,4,2,0,0,1,1,2,0,0
"asRNA:CR46071",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"lncRNA:CR44415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR46074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46063",0,0,1,0,0,0,0,0,0,0,1,3,0,0,1
"lncRNA:CR46205",4,3,4,0,0,12,5,1,1,6,2,0,4,4,4
"lncRNA:CR46210",0,0,3,0,0,0,0,0,0,3,4,0,2,1,1
"lncRNA:CR46196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"snRNA:LU",22,42,19,10,22,32,67,88,51,144,76,70,87,71,88
"asRNA:CR46069",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46260",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"lncRNA:CR46259",1,5,1,0,0,0,9,2,2,3,10,5,9,8,10
"lncRNA:CR46258",2,2,0,0,1,1,0,5,1,1,2,0,2,1,1
"asRNA:CR46263",5,3,4,1,8,9,4,7,1,14,6,4,7,3,7
"asRNA:CR46262",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"lncRNA:CR46254",0,0,0,0,2,0,2,3,1,4,8,6,0,5,4
"Su(Ste):CR42444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Su(Ste):CR42438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Su(Ste):CR42432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Su(Ste):CR42419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45139",2,0,0,3,0,0,0,3,0,1,2,1,1,0,0
"lncRNA:CR45220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45181",3,1,3,0,6,8,0,1,0,3,1,0,0,0,0
"lncRNA:CR45177",44,41,48,26,42,45,50,43,5,50,58,31,31,32,26
"asRNA:CR45182",0,0,0,0,1,2,0,0,1,2,8,1,1,0,0
"lncRNA:CR45180",10,1,6,2,8,4,3,7,1,3,2,4,0,0,1
"lncRNA:CR41257",6,8,3,6,37,25,6,0,2,5,14,6,7,4,6
"lncRNA:CR44268",9,13,22,5,13,28,25,17,4,24,22,16,26,18,26
"lncRNA:CR45557",7,3,2,2,0,0,3,1,2,4,4,3,2,0,7
"lncRNA:CR45556",2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"lncRNA:CR44263",0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
"lncRNA:CR45052",0,2,1,0,0,0,0,1,0,0,0,0,0,1,0
"lncRNA:CR45565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45564",9,8,17,8,8,9,3,9,0,4,13,5,1,4,3
"lncRNA:CR45553",40,20,12,7,10,20,11,15,2,6,15,8,17,7,7
"asRNA:CR45190",1,1,3,0,1,2,4,2,0,0,1,0,0,3,0
"lncRNA:CR45573",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45552",6,6,3,1,3,8,7,7,0,1,0,3,2,4,3
"lncRNA:CR45572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45555",0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
"lncRNA:CR45570",1,0,0,0,3,3,3,0,0,2,6,1,1,4,0
"lncRNA:CR45554",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"lncRNA:CR44262",0,0,0,3,0,1,0,0,0,0,10,0,0,0,0
"asRNA:CR45189",16,4,8,0,7,4,9,8,2,10,4,10,6,5,19
"lncRNA:CR44953",313,297,313,137,314,453,32,190,13,66,188,94,171,58,30
"lncRNA:CR45191",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"lncRNA:CR45569",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"lncRNA:CR45547",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45568",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45030",0,0,0,0,1,0,2,0,0,1,1,0,0,2,0
"asRNA:CR45044",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"lncRNA:CR45567",2,1,3,2,1,11,0,7,2,10,2,9,2,2,0
"lncRNA:CR44264",0,0,0,1,0,1,0,0,0,3,1,1,0,0,0
"lncRNA:CR45669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44952",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45566",30,21,23,7,14,8,17,9,6,4,5,5,20,15,13
"lncRNA:CR44288",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"lncRNA:CR44289",0,0,0,0,3,0,1,0,2,0,0,0,0,0,7
"asRNA:CR44287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR34006",2,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"asRNA:CR45209",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"lncRNA:CR45563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44951",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45226",4,0,1,0,3,0,0,0,0,0,0,0,0,3,0
"asRNA:CR44321",10,6,28,8,13,27,38,29,4,29,30,15,19,13,31
"lncRNA:CR44320",0,0,0,1,1,0,0,2,0,16,5,7,0,0,3
"lncRNA:CR44319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45039",0,0,0,1,0,0,0,4,1,1,0,0,1,2,0
"lncRNA:CR45038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45037",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"lncRNA:CR45657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45654",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45653",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45651",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44948",0,2,4,7,6,3,1,1,0,2,8,9,0,1,0
"asRNA:CR45214",7,7,7,1,6,8,2,0,0,0,5,11,1,1,14
